,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_range,time_signature,track_href,type,uri,valence
45,0.00435,https://api.spotify.com/v1/audio-analysis/6aQYHMzCZvKRNf2Apaf1AA,0.761,166680.0,0.478,6aQYHMzCZvKRNf2Apaf1AA,0.651,5.0,0.383,-9.888,1.0,0.0408,98.007,long_term,4.0,https://api.spotify.com/v1/tracks/6aQYHMzCZvKRNf2Apaf1AA,audio_features,spotify:track:6aQYHMzCZvKRNf2Apaf1AA,0.569
46,0.0308,https://api.spotify.com/v1/audio-analysis/5dOFL7m6bs0LvS4yLePYcj,0.764,408705.0,0.613,5dOFL7m6bs0LvS4yLePYcj,0.224,7.0,0.102,-8.759,0.0,0.0338,120.005,long_term,4.0,https://api.spotify.com/v1/tracks/5dOFL7m6bs0LvS4yLePYcj,audio_features,spotify:track:5dOFL7m6bs0LvS4yLePYcj,0.479
47,0.446,https://api.spotify.com/v1/audio-analysis/1SA4G2BsepZ4ugz2CfrQ4e,0.929,216788.0,0.294,1SA4G2BsepZ4ugz2CfrQ4e,0.00804,3.0,0.113,-12.699,1.0,0.22,104.024,long_term,4.0,https://api.spotify.com/v1/tracks/1SA4G2BsepZ4ugz2CfrQ4e,audio_features,spotify:track:1SA4G2BsepZ4ugz2CfrQ4e,0.382
48,0.00745,https://api.spotify.com/v1/audio-analysis/2BSqdgkbHqrwnRGwBb2jfk,0.707,273067.0,0.614,2BSqdgkbHqrwnRGwBb2jfk,0.000683,2.0,0.0455,-13.688,1.0,0.0315,119.908,long_term,4.0,https://api.spotify.com/v1/tracks/2BSqdgkbHqrwnRGwBb2jfk,audio_features,spotify:track:2BSqdgkbHqrwnRGwBb2jfk,0.961
49,0.000736,https://api.spotify.com/v1/audio-analysis/4GRhLzeZgi7nsG4d82YfIO,0.428,355451.0,0.99,4GRhLzeZgi7nsG4d82YfIO,0.00586,10.0,0.349,-4.231,1.0,0.191,124.722,long_term,4.0,https://api.spotify.com/v1/tracks/4GRhLzeZgi7nsG4d82YfIO,audio_features,spotify:track:4GRhLzeZgi7nsG4d82YfIO,0.102
50,0.373,https://api.spotify.com/v1/audio-analysis/4SHR8Udn1oQ95yvXRZU1I8,0.792,376640.0,0.51,4SHR8Udn1oQ95yvXRZU1I8,0.012,6.0,0.0319,-10.649,1.0,0.0402,98.864,medium_term,4.0,https://api.spotify.com/v1/tracks/4SHR8Udn1oQ95yvXRZU1I8,audio_features,spotify:track:4SHR8Udn1oQ95yvXRZU1I8,0.84
51,0.15,https://api.spotify.com/v1/audio-analysis/5gf6B78U9yT5inZsJidlVO,0.858,366890.0,0.492,5gf6B78U9yT5inZsJidlVO,0.881,8.0,0.0922,-6.626,1.0,0.0397,95.004,medium_term,4.0,https://api.spotify.com/v1/tracks/5gf6B78U9yT5inZsJidlVO,audio_features,spotify:track:5gf6B78U9yT5inZsJidlVO,0.516
52,0.00745,https://api.spotify.com/v1/audio-analysis/2BSqdgkbHqrwnRGwBb2jfk,0.707,273067.0,0.614,2BSqdgkbHqrwnRGwBb2jfk,0.000683,2.0,0.0455,-13.688,1.0,0.0315,119.908,medium_term,4.0,https://api.spotify.com/v1/tracks/2BSqdgkbHqrwnRGwBb2jfk,audio_features,spotify:track:2BSqdgkbHqrwnRGwBb2jfk,0.961
53,0.0643,https://api.spotify.com/v1/audio-analysis/4DoxBUKSlnZwe30Y23mGbH,0.893,316119.0,0.841,4DoxBUKSlnZwe30Y23mGbH,0.036,0.0,0.18,-7.729,0.0,0.159,115.293,medium_term,4.0,https://api.spotify.com/v1/tracks/4DoxBUKSlnZwe30Y23mGbH,audio_features,spotify:track:4DoxBUKSlnZwe30Y23mGbH,0.694
54,0.117,https://api.spotify.com/v1/audio-analysis/6DVHaplIW44aHvIW0obrrS,0.828,377669.0,0.608,6DVHaplIW44aHvIW0obrrS,0.0855,4.0,0.891,-8.642,0.0,0.0481,124.972,medium_term,4.0,https://api.spotify.com/v1/tracks/6DVHaplIW44aHvIW0obrrS,audio_features,spotify:track:6DVHaplIW44aHvIW0obrrS,0.474
