,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_range,time_signature,track_href,type,uri,valence
55,0.00196,https://api.spotify.com/v1/audio-analysis/1a7T0Ethftlcle1yIZU27G,0.553,241920.0,0.901,1a7T0Ethftlcle1yIZU27G,1.53e-06,1.0,0.162,-4.055,0.0,0.0835,150.162,medium_term,4.0,https://api.spotify.com/v1/tracks/1a7T0Ethftlcle1yIZU27G,audio_features,spotify:track:1a7T0Ethftlcle1yIZU27G,0.587
56,0.143,https://api.spotify.com/v1/audio-analysis/0I3q5fE6wg7LIfHGngUTnV,0.843,270507.0,0.806,0I3q5fE6wg7LIfHGngUTnV,0.0,4.0,0.0771,-5.946,0.0,0.269,94.948,medium_term,4.0,https://api.spotify.com/v1/tracks/0I3q5fE6wg7LIfHGngUTnV,audio_features,spotify:track:0I3q5fE6wg7LIfHGngUTnV,0.613
57,0.117,https://api.spotify.com/v1/audio-analysis/4f9fwRXOdxxqFu8pgyLNSS,0.845,222367.0,0.745,4f9fwRXOdxxqFu8pgyLNSS,0.0,11.0,0.403,-7.339,1.0,0.255,100.08,medium_term,4.0,https://api.spotify.com/v1/tracks/4f9fwRXOdxxqFu8pgyLNSS,audio_features,spotify:track:4f9fwRXOdxxqFu8pgyLNSS,0.796
58,0.103,https://api.spotify.com/v1/audio-analysis/4ZhPLoMzZwewHLLjV1J15c,0.575,232467.0,0.555,4ZhPLoMzZwewHLLjV1J15c,1.3e-06,4.0,0.111,-7.495,1.0,0.0453,95.361,medium_term,4.0,https://api.spotify.com/v1/tracks/4ZhPLoMzZwewHLLjV1J15c,audio_features,spotify:track:4ZhPLoMzZwewHLLjV1J15c,0.504
59,0.0946,https://api.spotify.com/v1/audio-analysis/6vaSStNN5NX4nJ4QbRY3S0,0.391,246587.0,0.692,6vaSStNN5NX4nJ4QbRY3S0,1.58e-05,1.0,0.191,-6.543,0.0,0.0462,180.008,medium_term,4.0,https://api.spotify.com/v1/tracks/6vaSStNN5NX4nJ4QbRY3S0,audio_features,spotify:track:6vaSStNN5NX4nJ4QbRY3S0,0.56
60,0.6,https://api.spotify.com/v1/audio-analysis/4IsHMzDbRE8q5Z4ALsQj3o,0.791,230500.0,0.329,4IsHMzDbRE8q5Z4ALsQj3o,0.863,10.0,0.193,-12.906,0.0,0.0592,127.021,medium_term,4.0,https://api.spotify.com/v1/tracks/4IsHMzDbRE8q5Z4ALsQj3o,audio_features,spotify:track:4IsHMzDbRE8q5Z4ALsQj3o,0.526
61,0.15,https://api.spotify.com/v1/audio-analysis/57NBEAz6VAVEcVUaVEVXvH,0.593,221115.0,0.497,57NBEAz6VAVEcVUaVEVXvH,0.866,5.0,0.166,-11.677,1.0,0.0295,139.987,medium_term,4.0,https://api.spotify.com/v1/tracks/57NBEAz6VAVEcVUaVEVXvH,audio_features,spotify:track:57NBEAz6VAVEcVUaVEVXvH,0.667
62,0.592,https://api.spotify.com/v1/audio-analysis/06WnUZymWyJamDivTWqJZA,0.559,221895.0,0.67,06WnUZymWyJamDivTWqJZA,0.000184,7.0,0.171,-4.985,1.0,0.0474,78.957,medium_term,4.0,https://api.spotify.com/v1/tracks/06WnUZymWyJamDivTWqJZA,audio_features,spotify:track:06WnUZymWyJamDivTWqJZA,0.438
63,0.318,https://api.spotify.com/v1/audio-analysis/1GCP8U6zN6l0cSaArj9THT,0.832,246818.0,0.719,1GCP8U6zN6l0cSaArj9THT,0.000663,10.0,0.107,-5.427,0.0,0.0545,115.053,medium_term,4.0,https://api.spotify.com/v1/tracks/1GCP8U6zN6l0cSaArj9THT,audio_features,spotify:track:1GCP8U6zN6l0cSaArj9THT,0.329
64,0.339,https://api.spotify.com/v1/audio-analysis/6q05J9erHFY3nAw6eG4jmd,0.641,181360.0,0.544,6q05J9erHFY3nAw6eG4jmd,0.0,11.0,0.0443,-11.213,0.0,0.223,120.84,medium_term,4.0,https://api.spotify.com/v1/tracks/6q05J9erHFY3nAw6eG4jmd,audio_features,spotify:track:6q05J9erHFY3nAw6eG4jmd,0.654
65,0.0543,https://api.spotify.com/v1/audio-analysis/34dK493M256BU2UFA9XJ06,0.564,251053.0,0.676,34dK493M256BU2UFA9XJ06,0.0524,11.0,0.106,-10.49,0.0,0.0647,160.039,medium_term,4.0,https://api.spotify.com/v1/tracks/34dK493M256BU2UFA9XJ06,audio_features,spotify:track:34dK493M256BU2UFA9XJ06,0.286
66,0.961,https://api.spotify.com/v1/audio-analysis/3weNRklVDqb4Rr5MhKBR3D,0.191,357707.0,0.0582,3weNRklVDqb4Rr5MhKBR3D,0.89,8.0,0.0941,-25.398,1.0,0.0578,132.614,medium_term,1.0,https://api.spotify.com/v1/tracks/3weNRklVDqb4Rr5MhKBR3D,audio_features,spotify:track:3weNRklVDqb4Rr5MhKBR3D,0.0454
67,0.393,https://api.spotify.com/v1/audio-analysis/6VNooTY5w9A9wg1YUsEbKB,0.697,218358.0,0.578,6VNooTY5w9A9wg1YUsEbKB,0.379,9.0,0.106,-5.213,0.0,0.095,114.995,medium_term,4.0,https://api.spotify.com/v1/tracks/6VNooTY5w9A9wg1YUsEbKB,audio_features,spotify:track:6VNooTY5w9A9wg1YUsEbKB,0.3
